period,capacity,outage,percentOutage,capacity-units,outage-units,percentOutage-units
2025-01-01,99129.8,2164.062,2.18,megawatts,megawatts,percent
2024-12-31,99094.6,2294.574,2.32,megawatts,megawatts,percent
2024-12-30,99094.6,2196.395,2.22,megawatts,megawatts,percent
2024-12-29,99094.6,2708.987,2.73,megawatts,megawatts,percent
2024-12-28,99094.6,3296.263,3.33,megawatts,megawatts,percent
2024-12-27,99094.6,1958.162,1.98,megawatts,megawatts,percent
2024-12-26,99094.6,1942.367,1.96,megawatts,megawatts,percent
2024-12-25,99094.6,1942.367,1.96,megawatts,megawatts,percent
2024-12-24,99094.6,2669.154,2.69,megawatts,megawatts,percent
2024-12-23,99094.6,2434.359,2.46,megawatts,megawatts,percent
2024-12-22,99094.6,2238.422,2.26,megawatts,megawatts,percent
2024-12-21,99094.6,2266.782,2.29,megawatts,megawatts,percent
2024-12-20,99094.6,2191.466,2.21,megawatts,megawatts,percent
2024-12-19,99094.6,2540.742,2.56,megawatts,megawatts,percent
2024-12-18,99094.6,2537.489,2.56,megawatts,megawatts,percent
2024-12-17,99094.6,1999.252,2.02,megawatts,megawatts,percent
2024-12-16,99094.6,2990.572,3.02,megawatts,megawatts,percent
2024-12-15,99094.6,2870.946,2.9,megawatts,megawatts,percent
2024-12-14,99094.6,4229.576,4.27,megawatts,megawatts,percent
2024-12-13,99094.6,2937.522,2.96,megawatts,megawatts,percent
2024-12-12,99094.6,2893.602,2.92,megawatts,megawatts,percent
2024-12-11,99094.6,3810.982,3.85,megawatts,megawatts,percent
2024-12-10,99094.6,5279.272,5.33,megawatts,megawatts,percent
2024-12-09,99094.6,6216.296,6.27,megawatts,megawatts,percent
2024-12-08,99094.6,5985.892,6.04,megawatts,megawatts,percent
2024-12-07,99094.6,7583.252,7.65,megawatts,megawatts,percent
2024-12-06,99094.6,7623.253,7.69,megawatts,megawatts,percent
2024-12-05,99094.6,8053.455,8.13,megawatts,megawatts,percent
2024-12-04,99094.6,6053.75,6.11,megawatts,megawatts,percent
2024-12-03,99094.6,6043.145,6.1,megawatts,megawatts,percent
2024-12-02,99094.6,5024.937,5.07,megawatts,megawatts,percent
2024-12-01,99094.6,5038.885,5.08,megawatts,megawatts,percent
2024-11-30,99094.6,5608.335,5.66,megawatts,megawatts,percent
2024-11-29,99094.6,5841.047,5.89,megawatts,megawatts,percent
2024-11-28,99094.6,6374.45,6.43,megawatts,megawatts,percent
2024-11-27,99094.6,7134.048,7.2,megawatts,megawatts,percent
2024-11-26,99094.6,7900.709,7.97,megawatts,megawatts,percent
2024-11-25,99094.6,8385.903,8.46,megawatts,megawatts,percent
2024-11-24,99094.6,10027.169,10.12,megawatts,megawatts,percent
2024-11-23,99094.6,9805.356,9.89,megawatts,megawatts,percent
2024-11-22,99094.6,9082.191,9.17,megawatts,megawatts,percent
2024-11-21,99094.6,10344.092,10.44,megawatts,megawatts,percent
2024-11-20,99094.6,11329.754,11.43,megawatts,megawatts,percent
2024-11-19,99094.6,9872.049,9.96,megawatts,megawatts,percent
2024-11-18,99094.6,10338.843,10.43,megawatts,megawatts,percent
2024-11-17,99094.6,11829.556,11.94,megawatts,megawatts,percent
2024-11-16,99094.6,12878.446,13,megawatts,megawatts,percent
2024-11-15,99094.6,13565.511,13.69,megawatts,megawatts,percent
2024-11-14,99094.6,13978.987,14.11,megawatts,megawatts,percent
2024-11-13,99094.6,13818.78,13.95,megawatts,megawatts,percent
2024-11-12,99094.6,15230.396,15.37,megawatts,megawatts,percent
2024-11-11,99094.6,16352.302,16.5,megawatts,megawatts,percent
2024-11-10,99094.6,16328.448,16.48,megawatts,megawatts,percent
2024-11-09,99094.6,16260.162,16.41,megawatts,megawatts,percent
2024-11-08,99094.6,16757.886,16.91,megawatts,megawatts,percent
2024-11-07,99094.6,17380.729,17.54,megawatts,megawatts,percent
2024-11-06,99094.6,18443.557,18.61,megawatts,megawatts,percent
2024-11-05,99094.6,19965.768,20.15,megawatts,megawatts,percent
2024-11-04,99094.6,19610.274,19.79,megawatts,megawatts,percent
2024-11-03,99094.6,19771.006,19.95,megawatts,megawatts,percent
2024-11-02,99094.6,19583.751,19.76,megawatts,megawatts,percent
2024-11-01,99094.6,18810.41,18.98,megawatts,megawatts,percent
2024-10-31,99094.6,19276.973,19.45,megawatts,megawatts,percent
2024-10-30,99094.6,19540.855,19.72,megawatts,megawatts,percent
2024-10-29,99094.6,20925.176,21.12,megawatts,megawatts,percent
2024-10-28,99094.6,22159.763,22.36,megawatts,megawatts,percent
2024-10-27,99094.6,21374.671,21.57,megawatts,megawatts,percent
2024-10-26,99094.6,21282.056,21.48,megawatts,megawatts,percent
2024-10-25,99094.6,22129.392,22.33,megawatts,megawatts,percent
2024-10-24,99094.6,22143.706,22.35,megawatts,megawatts,percent
2024-10-23,99094.6,22144.486,22.35,megawatts,megawatts,percent
2024-10-22,99094.6,22090.884,22.29,megawatts,megawatts,percent
2024-10-21,99094.6,21677.254,21.88,megawatts,megawatts,percent
2024-10-20,99094.6,19534.779,19.71,megawatts,megawatts,percent
2024-10-19,99094.6,19506.139,19.68,megawatts,megawatts,percent
2024-10-18,99094.6,19945.819,20.13,megawatts,megawatts,percent
2024-10-17,99094.6,20108.427,20.29,megawatts,megawatts,percent
2024-10-16,99094.6,19957.966,20.14,megawatts,megawatts,percent
2024-10-15,99094.6,19389.682,19.57,megawatts,megawatts,percent
2024-10-14,99094.6,20783.162,20.97,megawatts,megawatts,percent
2024-10-13,99094.6,20408.862,20.6,megawatts,megawatts,percent
2024-10-12,99094.6,18418.558,18.59,megawatts,megawatts,percent
2024-10-11,99094.6,18104.632,18.27,megawatts,megawatts,percent
2024-10-10,99094.6,17153.974,17.31,megawatts,megawatts,percent
2024-10-09,99094.6,17153.974,17.31,megawatts,megawatts,percent
2024-10-08,99094.6,17180.053,17.34,megawatts,megawatts,percent
2024-10-07,99094.6,18185.879,18.35,megawatts,megawatts,percent
2024-10-06,99094.6,18963.055,19.14,megawatts,megawatts,percent
2024-10-05,99094.6,18983.826,19.16,megawatts,megawatts,percent
2024-10-04,99094.6,13713.495,13.84,megawatts,megawatts,percent
2024-10-03,99094.6,13316.082,13.44,megawatts,megawatts,percent
2024-10-02,99094.6,13326.318,13.45,megawatts,megawatts,percent
2024-10-01,99094.6,13073.551,13.19,megawatts,megawatts,percent
2024-09-30,96771.1,13845.031,14.31,megawatts,megawatts,percent
2024-09-29,96771.1,13305.945,13.75,megawatts,megawatts,percent
2024-09-28,96771.1,15077.7,15.58,megawatts,megawatts,percent
2024-09-27,96771.1,12079.886,12.48,megawatts,megawatts,percent
2024-09-26,96771.1,10642.828,11,megawatts,megawatts,percent
2024-09-25,96771.1,10264.768,10.61,megawatts,megawatts,percent
2024-09-24,96771.1,11079.244,11.45,megawatts,megawatts,percent
2024-09-23,96771.1,9209.606,9.52,megawatts,megawatts,percent
2024-09-22,96771.1,10348.737,10.69,megawatts,megawatts,percent
2024-09-21,96771.1,10882.525,11.25,megawatts,megawatts,percent
2024-09-20,96771.1,8773.506,9.07,megawatts,megawatts,percent
2024-09-19,96771.1,9065.187,9.37,megawatts,megawatts,percent
2024-09-18,96771.1,9858.05,10.19,megawatts,megawatts,percent
2024-09-17,96771.1,10326.919,10.67,megawatts,megawatts,percent
2024-09-16,96771.1,9616.665,9.94,megawatts,megawatts,percent
2024-09-15,96771.1,10243.837,10.59,megawatts,megawatts,percent
2024-09-14,96771.1,10496.548,10.85,megawatts,megawatts,percent
2024-09-13,96771.1,10468.591,10.82,megawatts,megawatts,percent
2024-09-12,96771.1,10667.78,11.02,megawatts,megawatts,percent
2024-09-11,96771.1,10349.36,10.69,megawatts,megawatts,percent
2024-09-10,96771.1,10396.559,10.74,megawatts,megawatts,percent
2024-09-09,96771.1,10691.462,11.05,megawatts,megawatts,percent
2024-09-08,96771.1,9903.489,10.23,megawatts,megawatts,percent
2024-09-07,96771.1,8441.868,8.72,megawatts,megawatts,percent
2024-09-06,96771.1,7056.756,7.29,megawatts,megawatts,percent
2024-09-05,96771.1,7513.876,7.76,megawatts,megawatts,percent
2024-09-04,96771.1,7022.689,7.26,megawatts,megawatts,percent
2024-09-03,96771.1,5885.154,6.08,megawatts,megawatts,percent
2024-09-02,96771.1,6404.822,6.62,megawatts,megawatts,percent
2024-09-01,96771.1,6803.512,7.03,megawatts,megawatts,percent
2024-08-31,96771.1,5723.749,5.91,megawatts,megawatts,percent
2024-08-30,96771.1,3390.036,3.5,megawatts,megawatts,percent
2024-08-29,96771.1,3258.637,3.37,megawatts,megawatts,percent
2024-08-28,96771.1,3836.384,3.96,megawatts,megawatts,percent
2024-08-27,96771.1,4986.036,5.15,megawatts,megawatts,percent
2024-08-26,96771.1,4977.837,5.14,megawatts,megawatts,percent
2024-08-25,96771.1,4944.962,5.11,megawatts,megawatts,percent
2024-08-24,96771.1,5386.343,5.57,megawatts,megawatts,percent
2024-08-23,96771.1,2121.425,2.19,megawatts,megawatts,percent
2024-08-22,96771.1,2201.596,2.28,megawatts,megawatts,percent
2024-08-21,96771.1,2054.698,2.12,megawatts,megawatts,percent
2024-08-20,96771.1,1696.226,1.75,megawatts,megawatts,percent
2024-08-19,96771.1,1783.46,1.84,megawatts,megawatts,percent
2024-08-18,96771.1,2348.438,2.43,megawatts,megawatts,percent
2024-08-17,96771.1,2567.888,2.65,megawatts,megawatts,percent
2024-08-16,96771.1,2057.298,2.13,megawatts,megawatts,percent
2024-08-15,96771.1,1841.164,1.9,megawatts,megawatts,percent
2024-08-14,96771.1,1602.492,1.66,megawatts,megawatts,percent
2024-08-13,96771.1,1387.466,1.43,megawatts,megawatts,percent
2024-08-12,96771.1,1300.022,1.34,megawatts,megawatts,percent
2024-08-11,96771.1,1328.157,1.37,megawatts,megawatts,percent
2024-08-10,96771.1,1458.864,1.51,megawatts,megawatts,percent
2024-08-09,96771.1,1332.573,1.38,megawatts,megawatts,percent
2024-08-08,96771.1,1266.325,1.31,megawatts,megawatts,percent
2024-08-07,96771.1,1327.536,1.37,megawatts,megawatts,percent
2024-08-06,96771.1,1354.692,1.4,megawatts,megawatts,percent
2024-08-05,96771.1,1534.372,1.59,megawatts,megawatts,percent
2024-08-04,96771.1,3076.612,3.18,megawatts,megawatts,percent
2024-08-03,96771.1,3351.416,3.46,megawatts,megawatts,percent
2024-08-02,96771.1,3520.899,3.64,megawatts,megawatts,percent
2024-08-01,96771.1,4618.589,4.77,megawatts,megawatts,percent
2024-07-31,96771.1,4537.256,4.69,megawatts,megawatts,percent
2024-07-30,96771.1,2902.051,3,megawatts,megawatts,percent
2024-07-29,96771.1,3379.391,3.49,megawatts,megawatts,percent
2024-07-28,96771.1,2454.307,2.54,megawatts,megawatts,percent
2024-07-27,96771.1,2603.693,2.69,megawatts,megawatts,percent
2024-07-26,96771.1,2936.573,3.03,megawatts,megawatts,percent
2024-07-25,96771.1,3518.99,3.64,megawatts,megawatts,percent
2024-07-24,96771.1,2715.41,2.81,megawatts,megawatts,percent
2024-07-23,96771.1,2529.52,2.61,megawatts,megawatts,percent
2024-07-22,96771.1,2881.91,2.98,megawatts,megawatts,percent
2024-07-21,96771.1,3069.03,3.17,megawatts,megawatts,percent
2024-07-20,96771.1,2634.005,2.72,megawatts,megawatts,percent
2024-07-19,96771.1,2552.19,2.64,megawatts,megawatts,percent
2024-07-18,96771.1,2117.769,2.19,megawatts,megawatts,percent
2024-07-17,96771.1,3141.635,3.25,megawatts,megawatts,percent
2024-07-16,96771.1,3597.81,3.72,megawatts,megawatts,percent
2024-07-15,96771.1,2874.864,2.97,megawatts,megawatts,percent
2024-07-14,96771.1,2782.193,2.88,megawatts,megawatts,percent
2024-07-13,96771.1,2691.73,2.78,megawatts,megawatts,percent
2024-07-12,96771.1,3022.439,3.12,megawatts,megawatts,percent
2024-07-11,96771.1,3615.86,3.74,megawatts,megawatts,percent
2024-07-10,96771.1,3081.136,3.18,megawatts,megawatts,percent
2024-07-09,96771.1,3695.413,3.82,megawatts,megawatts,percent
2024-07-08,96771.1,1338.02,1.38,megawatts,megawatts,percent
2024-07-07,96771.1,1364.24,1.41,megawatts,megawatts,percent
2024-07-06,96771.1,1462.94,1.51,megawatts,megawatts,percent
2024-07-05,96771.1,178.29,.18,megawatts,megawatts,percent
2024-07-04,96771.1,266.51,.28,megawatts,megawatts,percent
2024-07-03,96771.1,956.56,.99,megawatts,megawatts,percent
2024-07-02,96771.1,1220.88,1.26,megawatts,megawatts,percent
2024-07-01,96771.1,1241.39,1.28,megawatts,megawatts,percent
2024-06-30,96771.1,1558.451,1.61,megawatts,megawatts,percent
2024-06-29,96771.1,1803.72,1.86,megawatts,megawatts,percent
2024-06-28,96771.1,1518.807,1.57,megawatts,megawatts,percent
2024-06-27,96771.1,714.99,.74,megawatts,megawatts,percent
2024-06-26,96771.1,338.348,.35,megawatts,megawatts,percent
2024-06-25,96771.1,765.178,.79,megawatts,megawatts,percent
2024-06-24,96771.1,1118.278,1.16,megawatts,megawatts,percent
2024-06-23,96771.1,2349.768,2.43,megawatts,megawatts,percent
2024-06-22,96771.1,2423.308,2.5,megawatts,megawatts,percent
2024-06-21,96771.1,2337.984,2.42,megawatts,megawatts,percent
2024-06-20,96771.1,1853.971,1.92,megawatts,megawatts,percent
2024-06-19,96771.1,3688.441,3.81,megawatts,megawatts,percent
2024-06-18,96771.1,4519.708,4.67,megawatts,megawatts,percent
2024-06-17,96771.1,2345.508,2.42,megawatts,megawatts,percent
2024-06-16,96771.1,1420.771,1.47,megawatts,megawatts,percent
2024-06-15,96771.1,2556.147,2.64,megawatts,megawatts,percent
2024-06-14,96771.1,1790.92,1.85,megawatts,megawatts,percent
2024-06-13,96771.1,2468.67,2.55,megawatts,megawatts,percent
2024-06-12,96771.1,2009.65,2.08,megawatts,megawatts,percent
2024-06-11,96771.1,2353.9,2.43,megawatts,megawatts,percent
2024-06-10,96771.1,2919.898,3.02,megawatts,megawatts,percent
2024-06-09,96771.1,3165.318,3.27,megawatts,megawatts,percent
2024-06-08,96771.1,4096.281,4.23,megawatts,megawatts,percent
2024-06-07,96771.1,3488.33,3.6,megawatts,megawatts,percent
2024-06-06,96771.1,4394.3,4.54,megawatts,megawatts,percent
2024-06-05,96771.1,3367.39,3.48,megawatts,megawatts,percent
2024-06-04,96771.1,2831.8,2.93,megawatts,megawatts,percent
2024-06-03,96771.1,2363.6,2.44,megawatts,megawatts,percent
2024-06-02,96771.1,1727.94,1.79,megawatts,megawatts,percent
2024-06-01,96771.1,3475.86,3.59,megawatts,megawatts,percent
2024-05-31,96771.1,3757.65,3.88,megawatts,megawatts,percent
2024-05-30,96771.1,2733.82,2.83,megawatts,megawatts,percent
2024-05-29,96771.1,2872.541,2.97,megawatts,megawatts,percent
2024-05-28,96771.1,3466.462,3.58,megawatts,megawatts,percent
2024-05-27,96771.1,3304.94,3.42,megawatts,megawatts,percent
2024-05-26,96771.1,6111.93,6.32,megawatts,megawatts,percent
2024-05-25,96771.1,7478.11,7.73,megawatts,megawatts,percent
2024-05-24,96771.1,6528.87,6.75,megawatts,megawatts,percent
2024-05-23,96771.1,4476.02,4.63,megawatts,megawatts,percent
2024-05-22,96771.1,4235.49,4.38,megawatts,megawatts,percent
2024-05-21,96771.1,4709.67,4.87,megawatts,megawatts,percent
2024-05-20,96771.1,6596.132,6.82,megawatts,megawatts,percent
2024-05-19,96771.1,6790.333,7.02,megawatts,megawatts,percent
2024-05-18,96771.1,7931.628,8.2,megawatts,megawatts,percent
2024-05-17,96771.1,8648.661,8.94,megawatts,megawatts,percent
2024-05-16,96771.1,10802.64,11.16,megawatts,megawatts,percent
2024-05-15,96771.1,12249.081,12.66,megawatts,megawatts,percent
2024-05-14,96771.1,11740.071,12.13,megawatts,megawatts,percent
2024-05-13,96771.1,14112.356,14.58,megawatts,megawatts,percent
2024-05-12,96771.1,16792.077,17.35,megawatts,megawatts,percent
2024-05-11,96771.1,17180.798,17.75,megawatts,megawatts,percent
2024-05-10,96771.1,14132.75,14.6,megawatts,megawatts,percent
2024-05-09,96771.1,14008.821,14.48,megawatts,megawatts,percent
2024-05-08,96771.1,14277.218,14.75,megawatts,megawatts,percent
2024-05-07,96771.1,14895.116,15.39,megawatts,megawatts,percent
2024-05-06,96771.1,15825.332,16.35,megawatts,megawatts,percent
2024-05-05,96771.1,16587.022,17.14,megawatts,megawatts,percent
2024-05-04,96771.1,17675.427,18.27,megawatts,megawatts,percent
2024-05-03,96771.1,16416.005,16.96,megawatts,megawatts,percent
2024-05-02,96771.1,17475.175,18.06,megawatts,megawatts,percent
2024-05-01,96771.1,17243,17.82,megawatts,megawatts,percent
2024-04-30,96771.1,17536.771,18.12,megawatts,megawatts,percent
2024-04-29,96771.1,18112.526,18.72,megawatts,megawatts,percent
2024-04-28,96771.1,18683.162,19.31,megawatts,megawatts,percent
2024-04-27,96771.1,19054.331,19.69,megawatts,megawatts,percent
2024-04-26,96771.1,19335.896,19.98,megawatts,megawatts,percent
2024-04-25,96771.1,19166.7,19.81,megawatts,megawatts,percent
2024-04-24,96771.1,18365.33,18.98,megawatts,megawatts,percent
2024-04-23,96771.1,18803.63,19.43,megawatts,megawatts,percent
2024-04-22,96771.1,18880.75,19.51,megawatts,megawatts,percent
2024-04-21,96771.1,18880.75,19.51,megawatts,megawatts,percent
2024-04-20,96771.1,19357.93,20,megawatts,megawatts,percent
2024-04-19,96771.1,18871.99,19.5,megawatts,megawatts,percent
2024-04-18,96771.1,18873.902,19.5,megawatts,megawatts,percent
2024-04-17,96771.1,18873.902,19.5,megawatts,megawatts,percent
2024-04-16,96771.1,19100.204,19.74,megawatts,megawatts,percent
2024-04-15,96771.1,19959.072,20.63,megawatts,megawatts,percent
2024-04-14,96771.1,19752.892,20.41,megawatts,megawatts,percent
2024-04-13,96771.1,20042.862,20.71,megawatts,megawatts,percent
2024-04-12,96771.1,19132.692,19.77,megawatts,megawatts,percent
2024-04-11,96771.1,19901.08,20.57,megawatts,megawatts,percent
2024-04-10,96771.1,19520.35,20.17,megawatts,megawatts,percent
2024-04-09,96771.1,19586.48,20.24,megawatts,megawatts,percent
2024-04-08,96771.1,19939.24,20.6,megawatts,megawatts,percent
2024-04-07,96771.1,17637.153,18.23,megawatts,megawatts,percent
2024-04-06,96771.1,15322.725,15.83,megawatts,megawatts,percent
2024-04-05,96771.1,14621.313,15.11,megawatts,megawatts,percent
2024-04-04,96771.1,14773.266,15.27,megawatts,megawatts,percent
2024-04-03,96771.1,13418.84,13.87,megawatts,megawatts,percent
2024-04-02,96771.1,13528.265,13.98,megawatts,megawatts,percent
2024-04-01,96771.1,13595.79,14.05,megawatts,megawatts,percent
2024-03-31,99094.6,14986.652,15.12,megawatts,megawatts,percent
2024-03-30,99094.6,16752.652,16.91,megawatts,megawatts,percent
2024-03-29,99094.6,16970.349,17.13,megawatts,megawatts,percent
2024-03-28,99094.6,17820.191,17.98,megawatts,megawatts,percent
2024-03-27,99094.6,17705.099,17.87,megawatts,megawatts,percent
2024-03-26,99094.6,16925.63,17.08,megawatts,megawatts,percent
2024-03-25,99094.6,16833.58,16.99,megawatts,megawatts,percent
2024-03-24,99094.6,16056.124,16.2,megawatts,megawatts,percent
2024-03-23,99094.6,16428.279,16.58,megawatts,megawatts,percent
2024-03-22,99094.6,13265.888,13.39,megawatts,megawatts,percent
2024-03-21,99094.6,12917.793,13.04,megawatts,megawatts,percent
2024-03-20,99094.6,13921.018,14.05,megawatts,megawatts,percent
2024-03-19,99094.6,13934.212,14.06,megawatts,megawatts,percent
2024-03-18,99094.6,14310.143,14.44,megawatts,megawatts,percent
2024-03-17,99094.6,11896.92,12.01,megawatts,megawatts,percent
2024-03-16,99094.6,11899.785,12.01,megawatts,megawatts,percent
2024-03-15,99094.6,11487.743,11.59,megawatts,megawatts,percent
2024-03-14,99094.6,11124.728,11.23,megawatts,megawatts,percent
2024-03-13,99094.6,11356.97,11.46,megawatts,megawatts,percent
2024-03-12,99094.6,10716.883,10.81,megawatts,megawatts,percent
2024-03-11,99094.6,11828.082,11.94,megawatts,megawatts,percent
2024-03-10,99094.6,11918.381,12.03,megawatts,megawatts,percent
2024-03-09,99094.6,11969.608,12.08,megawatts,megawatts,percent
2024-03-08,99094.6,11504.184,11.61,megawatts,megawatts,percent
2024-03-07,99094.6,12261.837,12.37,megawatts,megawatts,percent
2024-03-06,99094.6,12286.156,12.4,megawatts,megawatts,percent
2024-03-05,99094.6,12774.332,12.89,megawatts,megawatts,percent
2024-03-04,99094.6,12098.449,12.21,megawatts,megawatts,percent
2024-03-03,99094.6,12139.395,12.25,megawatts,megawatts,percent
2024-03-02,99094.6,11588.944,11.69,megawatts,megawatts,percent
2024-03-01,99094.6,9229.245,9.31,megawatts,megawatts,percent
2024-02-29,99094.6,7991.63,8.06,megawatts,megawatts,percent
2024-02-28,99094.6,7377.759,7.45,megawatts,megawatts,percent
2024-02-27,99094.6,7729.487,7.8,megawatts,megawatts,percent
2024-02-26,99094.6,7626.773,7.7,megawatts,megawatts,percent
2024-02-25,99094.6,7673.593,7.74,megawatts,megawatts,percent
2024-02-24,99094.6,6791.463,6.85,megawatts,megawatts,percent
2024-02-23,99094.6,6755.156,6.82,megawatts,megawatts,percent
2024-02-22,99094.6,7856.275,7.93,megawatts,megawatts,percent
2024-02-21,99094.6,8784.764,8.87,megawatts,megawatts,percent
2024-02-20,99094.6,8499.708,8.58,megawatts,megawatts,percent
2024-02-19,99094.6,8499.708,8.58,megawatts,megawatts,percent
2024-02-18,99094.6,8497.956,8.58,megawatts,megawatts,percent
2024-02-17,99094.6,8738.842,8.82,megawatts,megawatts,percent
2024-02-16,99094.6,8189.67,8.26,megawatts,megawatts,percent
2024-02-15,99094.6,7293.287,7.36,megawatts,megawatts,percent
2024-02-14,99094.6,5666.164,5.72,megawatts,megawatts,percent
2024-02-13,99094.6,5101.412,5.15,megawatts,megawatts,percent
2024-02-12,99094.6,5296.214,5.34,megawatts,megawatts,percent
2024-02-11,99094.6,4031.417,4.07,megawatts,megawatts,percent
2024-02-10,99094.6,3540.388,3.57,megawatts,megawatts,percent
2024-02-09,99094.6,3593.275,3.63,megawatts,megawatts,percent
2024-02-08,99094.6,3450.984,3.48,megawatts,megawatts,percent
2024-02-07,99094.6,3558.766,3.59,megawatts,megawatts,percent
2024-02-06,99094.6,4140.092,4.18,megawatts,megawatts,percent
2024-02-05,99094.6,3826.88,3.86,megawatts,megawatts,percent
2024-02-04,99094.6,4224.753,4.26,megawatts,megawatts,percent
2024-02-03,99094.6,3684.551,3.72,megawatts,megawatts,percent
2024-02-02,99094.6,4574.204,4.62,megawatts,megawatts,percent
2024-02-01,99094.6,5819.558,5.87,megawatts,megawatts,percent
2024-01-31,99094.6,8274.329,8.35,megawatts,megawatts,percent
2024-01-30,99094.6,9395.531,9.48,megawatts,megawatts,percent
2024-01-29,99094.6,8398.832,8.48,megawatts,megawatts,percent
2024-01-28,99094.6,9217.515,9.3,megawatts,megawatts,percent
2024-01-27,99094.6,7004.323,7.07,megawatts,megawatts,percent
2024-01-26,99094.6,6886.568,6.95,megawatts,megawatts,percent
2024-01-25,99094.6,6511.665,6.57,megawatts,megawatts,percent
2024-01-24,99094.6,5436.318,5.49,megawatts,megawatts,percent
2024-01-23,99094.6,5723.329,5.78,megawatts,megawatts,percent
2024-01-22,99094.6,5863.961,5.92,megawatts,megawatts,percent
2024-01-21,99094.6,4798.352,4.84,megawatts,megawatts,percent
2024-01-20,99094.6,4763.377,4.81,megawatts,megawatts,percent
2024-01-19,99094.6,5015.094,5.06,megawatts,megawatts,percent
2024-01-18,99094.6,5502.31,5.55,megawatts,megawatts,percent
2024-01-17,99094.6,5260.949,5.31,megawatts,megawatts,percent
2024-01-16,99094.6,4911.592,4.96,megawatts,megawatts,percent
2024-01-15,99094.6,4752.47,4.8,megawatts,megawatts,percent
2024-01-14,99094.6,4827.788,4.87,megawatts,megawatts,percent
2024-01-13,99094.6,4833.64,4.88,megawatts,megawatts,percent
2024-01-12,99094.6,5033.042,5.08,megawatts,megawatts,percent
2024-01-11,99094.6,6928.732,6.99,megawatts,megawatts,percent
2024-01-10,99094.6,6928.534,6.99,megawatts,megawatts,percent
2024-01-09,99094.6,6051.344,6.11,megawatts,megawatts,percent
2024-01-08,99094.6,4620.436,4.66,megawatts,megawatts,percent
2024-01-07,99094.6,4706.506,4.75,megawatts,megawatts,percent
2024-01-06,99094.6,5103.846,5.15,megawatts,megawatts,percent
2024-01-05,99094.6,6065.362,6.12,megawatts,megawatts,percent
2024-01-04,99094.6,6914.811,6.98,megawatts,megawatts,percent
2024-01-03,99094.6,5813.931,5.87,megawatts,megawatts,percent
2024-01-02,99094.6,6555.198,6.62,megawatts,megawatts,percent
2024-01-01,99094.6,5279.618,5.33,megawatts,megawatts,percent
2023-12-31,99177.2,6727.633,6.78,megawatts,megawatts,percent
2023-12-30,99177.2,7168.678,7.23,megawatts,megawatts,percent
2023-12-29,99177.2,6024.672,6.07,megawatts,megawatts,percent
2023-12-28,99177.2,6889.878,6.95,megawatts,megawatts,percent
2023-12-27,99177.2,7042.71,7.1,megawatts,megawatts,percent
2023-12-26,99177.2,6791.901,6.85,megawatts,megawatts,percent
2023-12-25,99177.2,6968.523,7.03,megawatts,megawatts,percent
2023-12-24,99177.2,7264.308,7.32,megawatts,megawatts,percent
2023-12-23,99177.2,6543.436,6.6,megawatts,megawatts,percent
2023-12-22,99177.2,6296.683,6.35,megawatts,megawatts,percent
2023-12-21,99177.2,6377.829,6.43,megawatts,megawatts,percent
2023-12-20,99177.2,7026.425,7.08,megawatts,megawatts,percent
2023-12-19,99177.2,8244.062,8.31,megawatts,megawatts,percent
2023-12-18,99177.2,6719.985,6.78,megawatts,megawatts,percent
2023-12-17,99177.2,8972.066,9.05,megawatts,megawatts,percent
2023-12-16,99177.2,9380.961,9.46,megawatts,megawatts,percent
2023-12-15,99177.2,7882.518,7.95,megawatts,megawatts,percent
2023-12-14,99177.2,7028.378,7.09,megawatts,megawatts,percent
2023-12-13,99177.2,7385.104,7.45,megawatts,megawatts,percent
2023-12-12,99177.2,7133.929,7.19,megawatts,megawatts,percent
2023-12-11,99177.2,7029.588,7.09,megawatts,megawatts,percent
2023-12-10,99177.2,7450.97,7.51,megawatts,megawatts,percent
2023-12-09,99177.2,6225.178,6.28,megawatts,megawatts,percent
2023-12-08,99177.2,4991.485,5.03,megawatts,megawatts,percent
2023-12-07,99177.2,4860.078,4.9,megawatts,megawatts,percent
2023-12-06,99177.2,5500.558,5.55,megawatts,megawatts,percent
2023-12-05,99177.2,5670.139,5.72,megawatts,megawatts,percent
2023-12-04,99177.2,5683.078,5.73,megawatts,megawatts,percent
2023-12-03,99177.2,5062.046,5.1,megawatts,megawatts,percent
2023-12-02,99177.2,4640.685,4.68,megawatts,megawatts,percent
2023-12-01,99177.2,5186.815,5.23,megawatts,megawatts,percent
2023-11-30,99177.2,5499.033,5.54,megawatts,megawatts,percent
2023-11-29,99177.2,5098.738,5.14,megawatts,megawatts,percent
2023-11-28,99177.2,5792.301,5.84,megawatts,megawatts,percent
2023-11-27,99177.2,6101.083,6.15,megawatts,megawatts,percent
2023-11-26,99177.2,6458.752,6.51,megawatts,megawatts,percent
2023-11-25,99177.2,5973.613,6.02,megawatts,megawatts,percent
2023-11-24,99177.2,6177.797,6.23,megawatts,megawatts,percent
2023-11-23,99177.2,5931.509,5.98,megawatts,megawatts,percent
2023-11-22,99177.2,7006.74,7.06,megawatts,megawatts,percent
2023-11-21,99177.2,7820.527,7.89,megawatts,megawatts,percent
2023-11-20,99177.2,8723.716,8.8,megawatts,megawatts,percent
2023-11-19,99177.2,9336.739,9.41,megawatts,megawatts,percent
2023-11-18,99177.2,9823.136,9.9,megawatts,megawatts,percent
